Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
Sid Meier's Civilization VII,$34.99,-50%,Mixed,"Grand Strategy, Historical, Strategy, Military, 4X, City Builder, Diplomacy, Simulation, Multiplayer, Economy, War, Turn-Based Tactics, Turn-Based Strategy, Tactical, Singleplayer, Hex Grid, Alternate History, Political Sim, Stylized, PvP","Feb 10, 2025",2K
Satisfactory,$27.99,-30%,Overwhelmingly Positive,"Base Building, Automation, Open World, Crafting, Multiplayer, Co-op, Building, Resource Management, Sandbox, Exploration, Open World Survival Craft, Adventure, Survival, First-Person, Simulation, Strategy, Singleplayer, Sci-fi, Indie, Early Access","Sep 10, 2024",Coffee Stain Publishing
Echoes of Aincrad,$69.99,0%,Mixed,"Anime, JRPG, Singleplayer, Action RPG, Souls-like, Fantasy, Hack and Slash, RPG, 3D, Character Customization, Action, Dark, Futuristic, Adventure, Realistic, Dungeon Crawler, VR, Walking Simulator, Mystery, Female Protagonist","Jul 9, 2026",Bandai Namco Entertainment Inc.
Torchlight: Infinite,Free To Play,0%,Mixed,"RPG, Hack and Slash, Loot, Action RPG, Multiplayer, Free to Play, Action, Adventure, Dungeon Crawler, Combat, Top-Down, Singleplayer, Action-Adventure, Fantasy, Character Customization, Story Rich, Co-op, Sexual Content, Time Travel, Magic","May 9, 2023",XD
Phasmophobia,$13.99,-30%,Very Positive,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, VR, Supernatural, First-Person, Investigation, Dark, Detective, Demons, Mystery, Thriller, 3D, Early Access, Indie, Action, Tactical, Singleplayer","Sep 18, 2020",Kinetic Games
EA SPORTS™ College Football 27,$97.98,0%,Mostly Negative,"Simulation, Sports, Competitive, Multiplayer, Football (American), PvP, Co-op, Local Co-Op, Strategy, Online Co-Op, Local Multiplayer, Singleplayer, Cinematic, Realistic, Controller","Jul 9, 2026",Electronic Arts
No Man's Sky,$23.99,-60%,Very Positive,"Open World, Space, Open World Survival Craft, Exploration, Sci-fi, Survival, Multiplayer, Procedural Generation, Adventure, Sandbox, First-Person, Singleplayer, Atmospheric, Crafting, Space Sim, Indie, Action, Simulation, VR, FPS","Aug 12, 2016",Hello Games
American Truck Simulator,$48.48,0%,Overwhelmingly Positive,"Automobile Sim, Driving, Open World, Simulation, Transportation, Realistic, Moddable, Relaxing, Exploration, Economy, Management, Atmospheric, Immersive Sim, Multiplayer, Singleplayer, Adventure, Casual, Family Friendly, Level Editor, First-Person","Feb 2, 2016",SCS Software
METAL GEAR & METAL GEAR 2: Solid Snake,$9.99,-50%,Mostly Positive,"Action, Action-Adventure, Adventure, Exploration, 2D Platformer, Stealth, 2D, Top-Down Shooter, Pixel Graphics, Cinematic, Top-Down, 1990's, Military, War, Tactical, Tanks, Singleplayer, Story Rich, Violent, Classic","Oct 24, 2023",KONAMI
The Binding of Isaac: Rebirth,$35.97,0%,Very Positive,"Action Roguelike, Roguelike, Indie, Replay Value, Difficult, Pixel Graphics, Dungeon Crawler, Great Soundtrack, Singleplayer, Dark, 2D, Local Co-Op, Gore, Remake, Roguelite, Procedural Generation, Co-op, Atmospheric, Action, Horror","Nov 4, 2014","Nicalis, Inc."
Windrose,$37.98,0%,Very Positive,"Early Access, Pirates, Online Co-Op, Open World Survival Craft, Survival, Crafting, PvE, Exploration, Naval Combat, Building, Sailing, Open World, Base Building, Massively Multiplayer, Adventure, PvP, Combat, Action-Adventure, Third Person, Action","Apr 14, 2026","Kraken Express, Pocketpair Publishing (Japan)"
RuneScape: Dragonwilds,$209.71,-14%,Mostly Positive,"Open World, Survival, Multiplayer, Open World Survival Craft, Co-op, Online Co-Op, Early Access, Crafting, Building, Exploration, Base Building, Adventure, RPG, Action, Dragons, Fantasy, Sandbox, Singleplayer, Magic, Third Person","Apr 15, 2025","Jagex Ltd, Graph"
Battlefield™ REDSEC,Free To Play,0%,Mostly Negative,"Free to Play, Multiplayer, Action, FPS, Singleplayer, Military, Shooter, War, Modern, Battle Royale, Realistic, Epic, Combat, Tactical, Destruction, PvP, Atmospheric, Violent, Co-op, Sandbox","Oct 28, 2025",Electronic Arts
Avatar: Frontiers of Pandora™,$17.99,-40%,Mostly Positive,"Open World, Adventure, Action, Multiplayer, Online Co-Op, Singleplayer, Exploration, First-Person, Shooter, Character Customization, Story Rich, Sci-fi, Atmospheric, Co-op, 3D, Third Person, Beautiful, Immersive Sim, RPG, FPS","Jun 17, 2024",Ubisoft
World of Warships,Free To Play,0%,Mixed,"Vehicular Combat, Shooter, Naval Combat, Multiplayer, PvP, Third-Person Shooter, Team-Based, War, World War II, Military, Historical, Naval, Free to Play, Simulation, Realistic, 3D, PvE, Online Co-Op, Action, Co-op","Nov 15, 2017",Wargaming Group Limited
FOR HONOR™,$4.49,-85%,Mixed,"Medieval, Swordplay, Action, Multiplayer, Fighting, PvP, Third Person, War, Gore, Co-op, Singleplayer, Online Co-Op, Hack and Slash, Realistic, Strategy, Atmospheric, RPG, Fantasy, Story Rich, MOBA","Feb 13, 2017",Ubisoft
Throne and Liberty,Free To Play,0%,Mixed,"MMORPG, Free to Play, Open World, Massively Multiplayer, RPG, Fantasy, Character Customization, PvP, PvE, Multiplayer, Action, Adventure, Third Person, Exploration, Action-Adventure, Online Co-Op, Combat, Crafting, Co-op, Emotional","Oct 1, 2024",Amazon Game Studios
Clair Obscur: Expedition 33,$47.99,-20%,Very Positive,"Turn-Based Combat, Story Rich, Fantasy, Great Soundtrack, RPG, Singleplayer, JRPG, Exploration, Lore-Rich, Adventure, Party-Based RPG, Dark Fantasy, Action RPG, Souls-like, 3D, Character Customization, Post-apocalyptic, Action, Indie, Realistic","Apr 24, 2025",Kepler Interactive
PEAK,$14.38,0%,Very Positive,"Multiplayer, Online Co-Op, Co-op, Physics, Adventure, Exploration, First-Person, Comedy, 3D, Procedural Generation, Atmospheric, Action Roguelike, Action, Time Management, Character Customization, Platformer, Horror, Mystery, Investigation, Survival Horror","Jun 16, 2025","Aggro Crab, Evil Landfall?"
The Outlast Trials,$79.95,0%,Very Positive,"Horror, Multiplayer, Co-op, Survival Horror, Psychological Horror, First-Person, PvE, Stealth, Character Customization, Action, Survival, Action-Adventure, Dark Humor, Dark, Realistic, Atmospheric, Alternate History, Science, Gore, Adventure","Mar 5, 2024",Red Barrels
Stardew Valley,$14.99,0%,Overwhelmingly Positive,"Farming Sim, Pixel Graphics, Multiplayer, Life Sim, RPG, Relaxing, Simulation, Agriculture, Crafting, Indie, Sandbox, Building, Casual, Open World, Singleplayer, 2D, Dating Sim, Cute, Great Soundtrack, Fishing","Feb 26, 2016",ConcernedApe
Cyberpunk 2077: Phantom Liberty,$47.48,0%,Very Positive,"RPG, Sexual Content, Open World, Cyberpunk, Story Rich, Nudity, Singleplayer, Violent, Gore, First-Person, Character Customization, Atmospheric, Choices Matter, FPS, Horror, Shooter, Action, Action RPG, Great Soundtrack, Stealth","Sep 25, 2023",CD PROJEKT RED
Guild Wars 2®,$99.97,0%,Very Positive,"MMORPG, Adventure, RPG, Free to Play, Character Customization, Fantasy, Massively Multiplayer, Third Person, PvP, 3D, Multiplayer, Atmospheric, Class-Based, Combat, Strategy, Crafting, Online Co-Op, Exploration, Singleplayer, Story Rich","Aug 23, 2022","ArenaNet®, NCSOFT"
Disney Dreamlight Valley,$51.28,0%,Very Positive,"Relaxing, Life Sim, Character Customization, Exploration, Adventure, Simulation, Sandbox, Fantasy, Casual, Singleplayer, Story Rich, Family Friendly, Farming Sim, Cooking, Crafting, Fishing, Immersive Sim, Magic, 3D, Choose Your Own Adventure","Dec 5, 2023",Gameloft
Conan Exiles Enhanced,$29.99,-25%,Mostly Positive,"Survival, Open World, Nudity, Building, Open World Survival Craft, Crafting, Multiplayer, Sandbox, RPG, Massively Multiplayer, Adventure, Action, Online Co-Op, Exploration, Singleplayer, Co-op, Violent, Fantasy, Gore, PvP","May 8, 2018",Funcom
LEGO® Batman™: Legacy of the Dark Knight,$69.99,0%,Very Positive,"Co-op, Open World, Superhero, Comic Book, Multiplayer, Action, Action-Adventure, Funny, 3D Platformer, Third Person, Local Co-Op, Adventure, Controller, Story Rich, Family Friendly, Singleplayer, Parody, Casual, Combat, Atmospheric","May 22, 2026","Warner Bros. Games, Warner Bros. Interactive Entertainment"
Hades II,$20.99,-30%,Very Positive,"Action, Roguelike, Roguelite, Hack and Slash, Mythology, Action Roguelike, Female Protagonist, RPG, Dungeon Crawler, Action RPG, Story Rich, Singleplayer, Isometric, Indie, Hand-drawn, Atmospheric, Difficult, Souls-like, LGBTQ+, Perma Death","Sep 25, 2025",Supergiant Games
The Elder Scrolls V: Skyrim Special Edition,$132.24,0%,Overwhelmingly Positive,"Open World, RPG, Adventure, Fantasy, Singleplayer, Character Customization, Moddable, Dragons, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator","Oct 27, 2016",Bethesda Softworks
Dispatch,$23.99,-20%,Overwhelmingly Positive,"Choices Matter, Story Rich, Sexual Content, Nudity, Superhero, Singleplayer, Romance, Comedy, Choose Your Own Adventure, Episodic, Cinematic, Funny, Strategy, Action, Point & Click, Visual Novel, Comic Book, Indie, Adventure, Atmospheric","Oct 22, 2025",AdHoc Studio
Marathon,$27.99,-30%,Mixed,"Extraction Shooter, PvP, Multiplayer, Sci-fi, FPS, Shooter, Futuristic, First-Person, Action, PvE, Cyberpunk, Gun Customization, Class-Based, Online Co-Op, Inventory Management, Survival, Psychological Horror, Character Customization, Hero Shooter, LGBTQ+","Mar 5, 2026",Bungie
Denshattack!,$17.99,-10%,Overwhelmingly Positive,"Arcade, Trains, 3D Platformer, Fast-Paced, Colorful, Anime, Skating, Platformer, Score Attack, Story Rich, Action, Racing, Cartoony, Adventure, Third Person, Controller, Singleplayer, Dystopian, Casual, Visual Novel","Jul 15, 2026","Fireshine Games, Boltray Games"
ARC Raiders,$39.99,0%,Mixed,"Extraction Shooter, PvE, Multiplayer, PvP, Third-Person Shooter, Post-apocalyptic, Shooter, Online Co-Op, Survival, Sci-fi, Third Person, Atmospheric, Crafting, Inventory Management, Action, Open World, Combat, Futuristic, Character Customization, Realistic","Oct 30, 2025",Embark Studios
Call of Duty®: Modern Warfare® 4,$69.99,0%,N/A,"Action, Shooter, FPS, First-Person, Cinematic, PvP, Gun Customization, Multiplayer, Story Rich, Co-op, Online Co-Op, Singleplayer, Military, War, Artificial Intelligence, Tactical, Modern, Combat, Violent, Competitive","Oct 22, 2026",Activision
Cat Mail Co.,$17.94,-13%,Very Positive,"Relaxing, Simulation, Management, Cozy, Cats, Cute, Life Sim, Online Co-Op, Multiplayer, Atmospheric, Stylized, Colorful, Co-op, Magic, Physics, Singleplayer, First-Person, Crafting, 3D, Puzzle","Jul 9, 2026","Maracas Studio, Gamersky Games"
Farming Simulator 25,$49.57,-5%,Very Positive,"Simulation, Farming Sim, Multiplayer, Realistic, 3D, Economy, First-Person, Time Management, Building, Third Person, Management, Immersive Sim, Atmospheric, Relaxing, Online Co-Op, Nature, Farming, Physics, Singleplayer, Moddable","Nov 12, 2024",GIANTS Software
Destiny 2: Renegades,$10.99,-45%,Mostly Negative,"Open World, Multiplayer, Looter Shooter, MMORPG, FPS, Co-op, PvE, PvP, Shooter, Loot, Massively Multiplayer, First-Person, Action, Sci-fi, Adventure, Lore-Rich, Space, Competitive, Atmospheric, Free to Play","Dec 2, 2025",Bungie
Red Dead Redemption 2,$98.98,0%,Very Positive,"Open World, Story Rich, Western, Multiplayer, Adventure, Action, Realistic, Singleplayer, Shooter, Horses, Beautiful, Atmospheric, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS, Sexual Content","Dec 5, 2019",Rockstar Games
Backyard Baseball,$39.99,0%,Mostly Positive,"Sports, Baseball, PvP, Arcade, eSports, Party Game, RPG, 3D, Cute, Funny, Action, Casual, Simulation, Cartoony, Stylized, Colorful, Family Friendly, Comedy, Adventure, Cartoon","Jul 9, 2026",Playground Productions
PowerWash Simulator 2,$33.28,-25%,Very Positive,"Casual, Cleaning, Simulation, Relaxing, Local Multiplayer, Multiplayer, Online Co-Op, Sandbox, Local Co-Op, First-Person, Immersive Sim, Split Screen, 3D, Family Friendly, Colorful, Realistic, Atmospheric, Singleplayer, Co-op, Funny","Oct 23, 2025",FuturLab
Sons Of The Forest,$29.99,0%,Very Positive,"Survival, Open World, Multiplayer, Co-op, Survival Horror, Base Building, Horror, Crafting, Building, First-Person, Exploration, Adventure, Singleplayer, Atmospheric, Sandbox, Action-Adventure, Action, Simulation, Immersive Sim, VR","Feb 22, 2024",Newnight
SAND: Raiders of Sophie,$35.98,-27%,Mixed,"Early Access, PvP, Extraction Shooter, Vehicular Combat, Battle Royale, Open World, FPS, Pirates, Massively Multiplayer, Survival, Loot, PvE, Driving, Exploration, Shooter, Mechs, Transportation, First-Person, Online Co-Op, Action","Jun 22, 2026",tinyBuild
Lost Ark,Free To Play,0%,Mixed,"MMORPG, Free to Play, Action RPG, Multiplayer, Hack and Slash, Character Customization, RPG, Massively Multiplayer, Sexual Content, Action, PvE, Adventure, Fantasy, PvP, Isometric, Class-Based, Online Co-Op, Singleplayer, Violent, Gore","Feb 11, 2022",Amazon Game Studios
House Flipper 2,$24.63,-52%,Very Positive,"Co-op, Immersive Sim, Casual, Relaxing, Decorating, Design & Illustration, Simulation, First-Person, Building, Cleaning, Family Friendly, Base Building, Singleplayer, Online Co-Op, Organizing, Economy, 3D, Colorful, Realistic, Sandbox","Dec 14, 2023",Frozen District
Microsoft Flight Simulator 2024,$69.99,0%,Mostly Positive,"Simulation, Flight, Realistic, VR, Multiplayer, Hobby Sim, Singleplayer, Atmospheric, Sandbox, Exploration, Family Friendly, Open World, Nature, Relaxing, Nonlinear, Immersive Sim, Physics, Character Customization, Colorful, Psychological Horror","Nov 19, 2024",Xbox Game Studios
BeamNG.drive,$24.99,0%,Overwhelmingly Positive,"Simulation, Driving, Physics, Realistic, Destruction, Automobile Sim, Sandbox, Open World, Racing, Multiplayer, Moddable, Singleplayer, Early Access, First-Person, VR, Third Person, Funny, Action, Adventure, Exploration","May 29, 2015",BeamNG
Call of Duty®: Black Ops 7 - BlackCell (Season 05),$29.99,0%,Positive,"FPS, Multiplayer, Shooter, Singleplayer, Action, Military, First-Person, War, Modern, Violent, Tactical, Co-op, Realistic, Story Rich, Atmospheric, Online Co-Op, Gore, Third-Person Shooter, Third Person, Battle Royale","Jul 23, 2026",Activision
Digimon Story Time Stranger,$59.99,-40%,Very Positive,"RPG, JRPG, Creature Collector, Anime, Party-Based RPG, 3D, Collectathon, Cute, Time Travel, Fantasy, Turn-Based Combat, Emotional, Alternate History, Modern, Pixel Graphics, Mythology, Singleplayer, Character Customization, Story Rich, Team-Based","Oct 2, 2025",Bandai Namco Entertainment Inc.
Zenless Zone Zero,Free To Play,0%,Very Positive,"Anime, Free to Play, Action, Cute, Funny, Hack and Slash, Great Soundtrack, Story Rich, Post-apocalyptic, Stylized, Action RPG, Third Person, Adventure, Singleplayer, Character Action Game, RPG, Spectacle fighter, Action-Adventure, Casual, Atmospheric","Jun 16, 2026",COGNOSPHERE PTE. LTD.
Marvel's Spider-Man 2,$69.99,0%,Very Positive,"Action, Open World, Superhero, Singleplayer, Adventure, Action-Adventure, Story Rich, Third Person, Comic Book, Stealth, Controller, Political, Great Soundtrack, Atmospheric, LGBTQ+, Combat, Exploration, Multiplayer, Politics, Beat 'em up","Jan 30, 2025",PlayStation Publishing LLC
Project Zomboid,$43.98,0%,Very Positive,"Survival, Zombies, Open World, Multiplayer, Open World Survival Craft, Sandbox, Post-apocalyptic, Co-op, Crafting, Building, Indie, Simulation, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Adventure, Early Access","Nov 8, 2013",The Indie Stone
Factorio,Factorio Demo,0%,Overwhelmingly Positive,"Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Building, Co-op, 2D, Moddable, Singleplayer, Trains, Simulation, Pixel Graphics, City Builder, Indie","Aug 14, 2020",Wube Software LTD.
Yu-Gi-Oh! Master Duel,Free To Play,0%,Mixed,"Card Game, Free to Play, Strategy, Trading Card Game, Multiplayer, PvP, Anime, Card Battler, Turn-Based Tactics, Simulation, Tactical, Singleplayer, eSports, Dragons, Fantasy, Great Soundtrack, 3D, PvE, 2D, Deckbuilding","Jan 18, 2022",KONAMI
Cities: Skylines II,$41.76,0%,Mostly Positive,"City Builder, Simulation, Building, Sandbox, Management, Singleplayer, Economy, Strategy, Realistic, Moddable, Resource Management, Relaxing, Transportation, Casual, Atmospheric, Early Access, Open World, Mod, Great Soundtrack, Psychological Horror","Oct 24, 2023",Paradox Interactive
The First Descendant,Free To Play,0%,Mixed,"Free to Play, Sexual Content, Looter Shooter, Multiplayer, Third-Person Shooter, Online Co-Op, RPG, Action, Shooter, Third Person, Action RPG, Character Customization, Singleplayer, Co-op, PvE, Adventure, Sci-fi, Combat, Nudity, Story Rich","Jun 30, 2024",NEXON
"Warhammer 40,000: Rogue Trader",$67.48,0%,Very Positive,"RPG, Choices Matter, CRPG, Character Customization, Turn-Based Strategy, Turn-Based Combat, Strategy, Adventure, Co-op, Tactical RPG, Atmospheric, Fantasy, Dark Fantasy, Action, Multiplayer, Story Rich, Sci-fi, Singleplayer, Space, Romance","Dec 7, 2023",Owlcat Games
Hunt: Showdown 1896,$11.99,-60%,Mostly Positive,"Multiplayer, FPS, PvP, Team-Based, Tactical, Open World, Extraction Shooter, Atmospheric, Western, Horror, Perma Death, Shooter, Online Co-Op, Co-op, Survival Horror, Difficult, Battle Royale, Action, Gore, Zombies","Aug 27, 2019",Crytek
Sea of Thieves: 2026 Edition,$39.99,0%,Very Positive,"Multiplayer, Open World, Adventure, Pirates, Co-op, Online Co-Op, PvP, Sailing, Action, First-Person, Exploration, Naval, PvE, Funny, Massively Multiplayer, FPS, Atmospheric, Singleplayer, Great Soundtrack, Swordplay","Jun 3, 2020",Xbox Game Studios
MARVEL Tōkon: Fighting Souls,$59.99,0%,N/A,"Action, Casual, 2D Fighter, Arcade, eSports, Spectacle fighter, 2.5D, 2D, 3D, Anime, Comic Book, Colorful, Combat, Score Attack, Story Rich, Team-Based, Local Multiplayer, Multiplayer, Singleplayer, Superhero","Aug 6, 2026",PlayStation Publishing LLC
Borderlands 4,$69.99,0%,Mixed,"FPS, Looter Shooter, PvE, Open World, Co-op, Action RPG, Loot, RPG, First-Person, Action-Adventure, Multiplayer, Action, Controller, Sci-fi, Online Co-Op, Funny, Space, Futuristic, Adventure, LGBTQ+","Sep 11, 2025",2K
The Isle,$19.99,0%,Mostly Positive,"Dinosaurs, Survival, Open World, Multiplayer, Simulation, Hunting, Realistic, Massively Multiplayer, Adventure, Horror, Early Access, Action, Third Person, Co-op, Sandbox, Walking Simulator, RPG, Strategy, Team-Based, Indie","Dec 1, 2015",Afterthought LLC
Gothic 1 Remake,$49.99,0%,Very Positive,"RPG, Action, Exploration, Adventure, Third Person, Atmospheric, Action RPG, Dark Fantasy, Realistic, Gothic, Fantasy, 3D, Medieval, Magic, Combat, Singleplayer, Crafting, Story Rich, Remake, Choose Your Own Adventure","Jun 5, 2026","Alkimia Interactive, THQ Nordic"
Solarpunk™,$18.39,-20%,Very Positive,"Open World Survival Craft, Co-op, Base Building, Crafting, Building, Online Co-Op, Multiplayer, Sandbox, Open World, Survival, Cozy, Relaxing, Farming Sim, Simulation, First-Person, Automation, Farming, Exploration, Atmospheric, Indie","Jun 8, 2026","rokaplay, Metaroot"
Risk of Rain 2,$34.78,0%,Very Positive,"Third-Person Shooter, Action Roguelike, Multiplayer, Co-op, Roguelike, Roguelite, Action, Looter Shooter, Loot, Online Co-Op, Shooter, Great Soundtrack, Difficult, Indie, Third Person, Survival, Singleplayer, Soundtrack, Early Access, Bullet Hell","Aug 11, 2020","Gearbox Publishing, 2K"
Total War: WARHAMMER III,$22.92,0%,Very Positive,"Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy, Real Time Tactics, War, Dark Fantasy, Dwarves, Action, Tactical, Multiplayer, Atmospheric, Co-op, Colorful, PvP, Singleplayer, Online Co-Op, Story Rich, Tower Defense","Feb 16, 2022","SEGA, Feral Interactive"
Valheim,$9.99,-50%,Very Positive,"Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer, Building, Crafting, Base Building, Exploration, Co-op, Adventure, Difficult, Mythology, Sandbox, PvE, Third Person, Action, Singleplayer, Early Access, Indie","Feb 2, 2021",Coffee Stain Publishing
SILENT HILL 2,$27.99,-60%,Very Positive,"Psychological Horror, Horror, Story Rich, Survival Horror, Atmospheric, Psychological, Remake, Great Soundtrack, Singleplayer, Third Person, Multiple Endings, Adventure, Exploration, Cinematic, Action, Sexual Content, Violent, Classic, 3D, Action-Adventure","Oct 7, 2024",KONAMI
ELDEN RING NIGHTREIGN,$39.99,0%,Mostly Positive,"Souls-like, Online Co-Op, Multiplayer, Roguelike, Co-op, Singleplayer, PvE, Action, Third Person, Roguelite, Action RPG, Open World, RPG, Dark, Violent, 3D, Survival, Lore-Rich, Story Rich, Dating Sim","May 29, 2025","FromSoftware, Inc., Bandai Namco Entertainment"
Backrooms: Escape Together,$9.99,0%,Very Positive,"Multiplayer, Horror, Online Co-Op, Psychological Horror, Survival Horror, Co-op, Atmospheric, First-Person, Realistic, Early Access, Exploration, Procedural Generation, Adventure, Puzzle, Casual, Action, 3D, Singleplayer, Action-Adventure, Sci-fi","Oct 18, 2022",Triiodide Studios
7 Days to Die,$49.48,0%,Mixed,"Survival, Zombies, Multiplayer, Open World, Open World Survival Craft, Base Building, Post-apocalyptic, Online Co-Op, Voxel, Building, Exploration, Sandbox, FPS, Simulation, Horror, Tower Defense, Character Customization, Action, Strategy, Procedural Generation","Jul 25, 2024",The Fun Pimps Entertainment LLC
Moonlight Peaks,$44.97,0%,Very Positive,"Life Sim, Farming Sim, Vampires, Cute, Decorating, Romance, Fantasy, Relaxing, Simulation, Supernatural, Story Rich, Character Customization, Magic, Casual, Singleplayer, Third Person, Funny, RPG, 3D, Immersive Sim","Jul 6, 2026","XSEED Games, Marvelous Europe"
Arma Reforger,$71.97,0%,Very Positive,"Military, Simulation, Shooter, Realistic, FPS, Action, Strategy, Multiplayer, First-Person, Sandbox, War, Real Time Tactics, Tactical, Open World, Third Person, PvE, PvP, Singleplayer, Cold War, 1980s","Nov 16, 2023",Bohemia Interactive
OPERATOR,$19.99,0%,Very Positive,"Early Access, Realistic, Shooter, Tactical, Action, Simulation, FPS, PvE, War, Multiplayer, Gore, Gun Customization, Singleplayer, Character Customization, First-Person, Strategy, Combat, PvP, RPG, Dark","Aug 1, 2023",VECTOR INTERACTIVE PTY LTD
Scrap Mechanic,$39.58,0%,Very Positive,"Building, Sandbox, Multiplayer, Survival, Open World, Physics, Crafting, Base Building, Co-op, Adventure, First-Person, Singleplayer, Third Person, Funny, Simulation, Early Access, Action, Indie, Moddable, Online Co-Op","Jul 24, 2026",Axolot Games
Granblue Fantasy: Relink - Endless Ragnarok Upgrade Kit (Standard Edition),$29.99,0%,Very Positive,"Anime, Action RPG, JRPG, Action, Online Co-Op, Multiplayer, RPG, Fantasy, Female Protagonist, Singleplayer, Third Person, Hack and Slash, Spectacle fighter, 3D, Magic, Controller, Swordplay, PvE, Dragons, Tutorial","Jul 8, 2026","Cygames, Inc."
Librarian: Tidy Up the Arcane Library!,$5.99,0%,Very Positive,"Relaxing, Organizing, Collectathon, Artificial Intelligence, Puzzle, Hidden Object, Casual, Singleplayer, Simulation, 3D, Magic, Fantasy, Immersive Sim, Funny, Atmospheric, Realistic, Tactical, Indie, Score Attack, Memes","Apr 30, 2026",ArtRising
N/A,Free to Play / Not Available,0%,N/A,N/A,N/A,N/A
Halo: The Master Chief Collection,$39.99,0%,Very Positive,"Great Soundtrack, FPS, Classic, Multiplayer, Story Rich, Sci-fi, Co-op, First-Person, Shooter, Epic, Action, Singleplayer, Aliens, Lore-Rich, Beautiful, Space, Atmospheric, Adventure, Horror, Online Co-Op","Dec 3, 2019",Xbox Game Studios
RV There Yet?,$7.99,0%,Very Positive,"Multiplayer, Co-op, Funny, Online Co-Op, Adventure, Driving, Physics, First-Person, Exploration, Indie, 3D, Atmospheric, Offroad, Casual, Singleplayer, Psychological Horror, Controller, Character Customization, Action, Stylized","Oct 21, 2025",Nuggets Entertainment
Delta Force,Free To Play,0%,Mixed,"Free to Play, FPS, Extraction Shooter, Multiplayer, Shooter, Singleplayer, Gun Customization, Action, Massively Multiplayer, Co-op, PvP, First-Person, PvE, Military, Looter Shooter, Online Co-Op, Team-Based, Tactical, Co-op Campaign, Hero Shooter","Dec 4, 2024",TiMi Studio Group
theHunter: Call of the Wild™,$34.70,0%,Very Positive,"Hunting, Open World, Multiplayer, Nature, Relaxing, Stealth, FPS, Simulation, Survival, Realistic, Sandbox, Online Co-Op, Co-op, First-Person, Walking Simulator, Immersive Sim, Shooter, Sports, Controller, Strategy","Feb 16, 2017",Avalanche Studios
Super Battle Golf,$25.18,0%,Very Positive,"Multiplayer, Online Co-Op, Co-op, Sports, Physics, Comedy, Funny, Golf, Exploration, 3D, Action, Adventure, Colorful, PvP, Cute, Character Customization, Third Person, Party Game, Mini Golf, Racing","Feb 19, 2026",Oro Interactive
HITMAN World of Assassination,$5.99,-80%,Very Positive,"Stealth, Assassins, Singleplayer, VR, Action, Sandbox, Multiplayer, Violent, Shooter, Third Person, Third-Person Shooter, Open World, Realistic, Puzzle, Adventure, Cinematic, Gore, Immersive Sim, Funny, Capitalism","Jan 20, 2022",IO Interactive A/S
Soul Land: Awakening World,Free To Play,0%,Mixed,"Adventure, Action, RPG, 3D Fighter, Action-Adventure, MMORPG, Action RPG, Spectacle fighter, Free to Play, Tactical RPG, Exploration, Massively Multiplayer, 3D, Anime, Third Person, Open World, Fantasy, PvP, Multiplayer","Jun 1, 2026",37GAMES
Barony,$34.16,0%,Very Positive,"Multiplayer, Dungeon Crawler, Roguelike, Action Roguelike, Online Co-Op, Local Multiplayer, Local Co-Op, First-Person, Fantasy, Action RPG, 4 Player Local, Co-op, Singleplayer, RPG, Co-op Campaign, Pixel Graphics, Split Screen, Difficult, Immersive Sim, Indie","Jun 23, 2015",Turning Wheel LLC
The Planet Crafter,$11.99,-50%,Overwhelmingly Positive,"Base Building, Open World Survival Craft, Survival, Online Co-Op, Co-op, Building, Crafting, Space, Open World, Exploration, Automation, Sandbox, Resource Management, Sci-fi, First-Person, Singleplayer, Adventure, Story Rich, Immersive Sim, Aliens","Apr 10, 2024",Miju Games
HITMAN World of Assassination,$5.99,-80%,Very Positive,"Stealth, Assassins, Singleplayer, VR, Action, Sandbox, Multiplayer, Violent, Shooter, Third Person, Third-Person Shooter, Open World, Realistic, Puzzle, Adventure, Cinematic, Gore, Immersive Sim, Funny, Capitalism","Jan 20, 2022",IO Interactive A/S
Train Sim World® 6,$9.99,-80%,Mostly Positive,"Simulation, Trains, Transportation, Automobile Sim, Immersive Sim, Driving, Strategy, Exploration, First-Person, Third Person, Realistic, Atmospheric, Family Friendly, Relaxing, Moddable, Open World, LGBTQ+, Physics, Tutorial, Singleplayer","Sep 30, 2025",Dovetail Games - TSW
PAYDAY 2,$4.99,-50%,Very Positive,"Co-op, Action, FPS, Heist, Multiplayer, Looter Shooter, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation","Aug 13, 2013",Starbreeze Entertainment
